dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2018-04-07,1018.42,400,"kcal","118","30",6,12
2018-04-08,1187.48,400,"kcal","136","30",4,12
2018-04-09,946.005,400,"kcal","105","30",4,12
2018-04-10,240.134,400,"kcal","17","30",5,12
2018-04-11,1101.16,400,"kcal","126","30",3,12
2018-04-12,0,400,"kcal","0","30",0,12
2018-04-13,525.986,400,"kcal","51","30",11,12
2018-04-14,0,400,"kcal","0","30",0,12
2018-04-15,1017.36,400,"kcal","116","30",3,12
2018-04-16,456.143,400,"kcal","37","30",11,12
2018-04-17,475.297,400,"kcal","39","30",13,12
2018-04-18,388.22,400,"kcal","36","30",8,12
2018-04-19,478.836,400,"kcal","45","30",10,12
2018-04-20,412.265,400,"kcal","35","30",8,12
2018-04-21,1103.97,400,"kcal","158","30",8,12
2018-04-22,0,400,"kcal","0","30",0,12
2018-04-23,408.557,400,"kcal","26","30",11,12
2018-04-24,426.861,400,"kcal","44","30",10,12
2018-04-25,575.629,400,"kcal","47","30",13,12
2018-04-26,293.076,400,"kcal","20","30",10,12
2018-04-27,381.243,400,"kcal","28","30",11,12
2018-04-28,789.364,400,"kcal","80","30",12,12
2018-04-29,1539.34,400,"kcal","145","30",5,12
2018-04-30,0,400,"kcal","0","30",0,12
2018-05-01,0,400,"kcal","0","30",0,12
2018-05-02,489.149,400,"kcal","30","30",12,12
2018-05-03,560.726,400,"kcal","40","30",11,12
2018-05-04,473.871,400,"kcal","40","30",11,12
2018-05-05,389.585,400,"kcal","28","30",9,12
2018-05-06,1053.71,400,"kcal","122","30",3,12
2018-05-07,483.746,400,"kcal","32","30",15,12
2018-05-08,515.722,400,"kcal","39","30",10,12
2018-05-09,453.388,400,"kcal","30","30",12,12
2018-05-10,413.049,400,"kcal","21","30",11,12
2018-05-11,476.186,400,"kcal","52","30",10,12
2018-05-12,0.37,400,"kcal","0","30",0,12
2018-05-13,401.024,400,"kcal","70","30",3,12
2018-05-14,454.782,400,"kcal","44","30",9,12
2018-05-15,505.316,400,"kcal","47","30",9,12
2018-05-16,200.75,400,"kcal","23","30",4,12
2018-05-27,0,400,"kcal","0","30",0,12
2018-05-28,748.658,400,"kcal","52","30",2,12
2018-05-29,411.739,400,"kcal","40","30",9,12
2018-05-30,434.273,400,"kcal","40","30",11,12
2018-06-01,1.217,400,"kcal","0","30",0,12
2018-06-02,648.753,400,"kcal","86","30",5,12
2018-06-03,746.831,400,"kcal","65","30",2,12
2018-06-06,0,400,"kcal","0","30",0,12
2018-06-07,636.949,400,"kcal","60","30",2,12
2018-06-12,0,400,"kcal","0","30",0,12
2018-06-13,798.096,400,"kcal","68","30",2,12
2018-06-16,0,400,"kcal","0","30",0,12
2018-06-17,213.556,400,"kcal","13","30",6,12
2018-07-02,0,400,"kcal","0","30",0,12
2018-07-03,573.368,400,"kcal","53","30",1,12
2018-07-04,563.465,400,"kcal","44","30",11,12
2018-07-05,321.438,400,"kcal","20","30",9,12
2018-07-07,0,400,"kcal","0","30",0,12
2018-07-08,951.187,400,"kcal","105","30",4,12
2018-07-13,0,400,"kcal","0","30",0,12
2018-07-14,52.922,400,"kcal","4","30",1,12
2018-07-15,1231.52,400,"kcal","126","30",5,12
2018-07-29,0,400,"kcal","0","30",0,12
2018-07-30,1123.23,400,"kcal","126","30",13,12
2018-07-31,1047.47,400,"kcal","112","30",11,12
2018-08-01,1259.56,400,"kcal","157","30",9,12
2018-08-02,348.876,400,"kcal","20","30",11,12
2018-08-03,0,400,"kcal","0","30",0,12
2018-08-04,286.893,400,"kcal","7","30",8,12
2018-08-12,0,400,"kcal","0","30",0,12
2018-08-13,1259.65,400,"kcal","142","30",12,12
2018-08-14,1002.46,400,"kcal","114","30",11,12
2018-08-15,1429.42,400,"kcal","155","30",13,12
2018-08-16,995.9,400,"kcal","101","30",12,12
2018-08-17,448.668,400,"kcal","37","30",9,12
2018-08-18,271.407,400,"kcal","28","30",5,12
2018-08-19,979.397,400,"kcal","124","30",3,12
2018-08-20,944.043,400,"kcal","97","30",12,12
2018-08-21,1102.43,400,"kcal","123","30",12,12
2018-08-22,1126.93,400,"kcal","120","30",14,12
2018-08-23,1006.19,400,"kcal","112","30",13,12
2018-08-24,459.421,400,"kcal","40","30",11,12
2018-08-25,0,400,"kcal","0","30",0,12
2018-08-26,93.779,400,"kcal","18","30",1,12
2018-08-27,1525.46,400,"kcal","168","30",15,12
2018-08-28,1009.55,400,"kcal","100","30",13,12
2018-08-29,946.276,400,"kcal","149","30",14,12
2018-08-30,856.911,400,"kcal","81","30",12,12
2018-08-31,560.467,400,"kcal","40","30",14,12
2018-09-01,889.721,400,"kcal","97","30",4,12
2018-09-02,1318.77,400,"kcal","131","30",3,12
2018-09-03,871.13,400,"kcal","81","30",12,12
2018-09-04,1394.61,400,"kcal","131","30",14,12
2018-09-05,255.342,400,"kcal","23","30",9,12
2018-09-06,381.625,400,"kcal","18","30",12,12
2018-09-07,310.822,400,"kcal","15","30",8,12
2018-09-08,0,400,"kcal","0","30",0,12
2018-09-09,1519.45,400,"kcal","175","30",11,12
2018-09-10,499.517,400,"kcal","32","30",12,12
2018-09-11,255.987,400,"kcal","15","30",10,12
2018-09-12,799.398,400,"kcal","71","30",11,12
2018-09-13,920.212,400,"kcal","76","30",13,12
2018-09-14,1609.01,400,"kcal","166","30",15,12
2018-09-15,1206.83,400,"kcal","123","30",5,12
2018-09-16,1071.84,400,"kcal","107","30",3,12
2018-09-17,864.994,400,"kcal","97","30",13,12
2018-09-18,352.083,400,"kcal","23","30",13,12
2018-09-19,247.437,400,"kcal","10","30",9,12
2018-09-20,357.92,400,"kcal","13","30",13,12
2018-09-21,315.022,400,"kcal","13","30",12,12
2018-09-22,1363.33,400,"kcal","136","30",6,12
2018-09-23,1322.18,400,"kcal","118","30",7,12
2018-09-24,170.943,400,"kcal","16","30",4,12
2018-09-25,285.573,400,"kcal","9","30",11,12
2018-09-26,460.549,400,"kcal","39","30",12,12
2018-09-27,399.726,400,"kcal","35","30",9,12
2018-09-28,444.838,400,"kcal","46","30",9,12
2018-09-29,258.267,400,"kcal","7","30",8,12
2018-10-09,0,400,"kcal","0","30",0,12
2018-10-10,1014.04,400,"kcal","93","30",13,12
2018-10-11,507.525,400,"kcal","35","30",14,12
2018-10-12,717.069,400,"kcal","66","30",12,12
2018-10-13,173.943,400,"kcal","0","30",5,12
2018-10-14,858.763,400,"kcal","78","30",5,12
2018-10-15,465.488,400,"kcal","22","30",14,12
2018-10-16,1112.86,400,"kcal","104","30",14,12
2018-10-17,595.11,400,"kcal","61","30",11,12
2018-10-18,673.702,400,"kcal","60","30",12,12
2018-10-19,306.83,400,"kcal","15","30",8,12
2018-10-21,0,400,"kcal","0","30",0,12
2018-10-22,517.768,400,"kcal","38","30",12,12
2018-10-23,550.431,400,"kcal","56","30",12,12
2018-10-24,1480.93,400,"kcal","147","30",16,12
2018-10-25,1292.58,400,"kcal","130","30",14,12
2018-10-26,663.562,400,"kcal","80","30",12,12
2018-10-27,849.82,400,"kcal","68","30",8,12
2018-10-28,1575.49,400,"kcal","161","30",4,12
2018-10-29,613.877,400,"kcal","53","30",10,12
2018-10-30,1279.75,400,"kcal","111","30",11,12
2018-10-31,1720.74,400,"kcal","163","30",15,12
2018-11-01,515.288,400,"kcal","45","30",13,12
2018-11-02,1083.75,400,"kcal","94","30",13,12
2018-11-03,578.614,400,"kcal","38","30",9,12
2018-11-04,1297.77,400,"kcal","113","30",10,12
2018-11-05,477.668,400,"kcal","25","30",14,12
2018-11-06,618.004,400,"kcal","39","30",14,12
2018-11-07,416.97,400,"kcal","34","30",12,12
2018-11-08,982.964,400,"kcal","85","30",13,12
2018-11-09,913.434,400,"kcal","89","30",12,12
2018-11-10,1402.05,400,"kcal","101","30",11,12
2018-11-11,404.701,400,"kcal","46","30",2,12
2018-11-12,645.636,400,"kcal","33","30",12,12
2018-11-13,514.737,400,"kcal","49","30",12,12
2018-11-14,1529.28,400,"kcal","140","30",16,12
2018-11-15,412.506,400,"kcal","38","30",9,12
2018-11-16,440.623,400,"kcal","32","30",9,12
2018-11-17,571.129,400,"kcal","43","30",8,12
2018-11-18,404.681,400,"kcal","40","30",4,12
2018-11-19,1131.64,400,"kcal","104","30",16,12
2018-11-20,1230.22,400,"kcal","104","30",18,12
2018-11-21,700.128,400,"kcal","51","30",18,12
2018-11-22,819.673,400,"kcal","61","30",15,12
2018-11-23,737.663,400,"kcal","52","30",16,12
2018-11-24,1269.78,400,"kcal","117","30",12,12
2018-11-25,1172.01,400,"kcal","117","30",14,12
2018-11-26,547.181,400,"kcal","44","30",14,12
2018-11-27,904.876,400,"kcal","83","30",13,12
2018-11-28,586.405,400,"kcal","34","30",16,12
2018-11-29,499.454,400,"kcal","48","30",12,12
2018-11-30,616.517,400,"kcal","40","30",15,12
2018-12-01,217.295,400,"kcal","0","30",11,12
2018-12-02,197.813,400,"kcal","4","30",6,12
2018-12-03,378.953,400,"kcal","15","30",13,12
2018-12-04,354.145,400,"kcal","13","30",12,12
2018-12-05,347.095,400,"kcal","15","30",12,12
2018-12-06,392.725,400,"kcal","9","30",12,12
2018-12-07,608.958,400,"kcal","35","30",11,12
2018-12-08,123.002,400,"kcal","12","30",1,12
2018-12-09,215.044,400,"kcal","6","30",8,12
2018-12-10,335.587,400,"kcal","9","30",12,12
2018-12-11,352.643,400,"kcal","6","30",12,12
2018-12-12,1431.98,400,"kcal","126","30",18,12
2018-12-13,377.569,400,"kcal","14","30",12,12
2018-12-14,472.108,400,"kcal","18","30",13,12
2018-12-15,40.6,400,"kcal","4","30",1,12
2018-12-16,1328.38,400,"kcal","157","30",7,12
2018-12-17,508.543,400,"kcal","32","30",14,12
2018-12-18,770.917,400,"kcal","86","30",13,12
2018-12-19,847.303,400,"kcal","75","30",15,12
2018-12-20,827.781,400,"kcal","75","30",17,12
2018-12-21,677.281,400,"kcal","43","30",17,12
2018-12-22,596.734,400,"kcal","46","30",12,12
2018-12-23,1215.69,400,"kcal","135","30",12,12
2018-12-24,313.587,400,"kcal","15","30",12,12
2018-12-25,473.549,400,"kcal","30","30",12,12
2018-12-26,746.291,400,"kcal","64","30",13,12
2018-12-27,780.812,400,"kcal","70","30",13,12
2018-12-28,857.72,400,"kcal","94","30",14,12
2018-12-29,988.65,400,"kcal","97","30",13,12
2018-12-30,278.408,400,"kcal","37","30",1,12
2018-12-31,297.572,400,"kcal","59","30",3,12
2019-01-01,354.739,400,"kcal","21","30",6,12
2019-01-02,727.097,400,"kcal","58","30",13,12
2019-01-03,853.142,400,"kcal","84","30",12,12
2019-01-04,366.838,400,"kcal","12","30",12,12
2019-01-05,493.238,400,"kcal","45","30",7,12
2019-01-06,929.52,400,"kcal","103","30",3,12
2019-01-07,300.465,400,"kcal","3","30",12,12
2019-01-08,845.61,400,"kcal","82","30",14,12
2019-01-09,903.789,400,"kcal","73","30",12,12
2019-01-10,871.283,400,"kcal","89","30",14,12
2019-01-11,269.97,400,"kcal","13","30",11,12
2019-01-12,0,400,"kcal","0","30",0,12
2019-01-13,1143.2,400,"kcal","140","30",5,12
2019-01-14,397.571,400,"kcal","8","30",11,12
2019-01-15,312.025,400,"kcal","5","30",11,12
2019-01-16,977.202,400,"kcal","82","30",14,12
2019-01-17,896.695,400,"kcal","93","30",14,12
2019-01-18,541.78,400,"kcal","40","30",14,12
2019-01-19,690.939,400,"kcal","67","30",7,12
2019-01-20,386.789,400,"kcal","47","30",2,12
2019-01-21,1045.4,400,"kcal","82","30",14,12
2019-01-22,296.47,400,"kcal","9","30",14,12
2019-01-23,702.319,400,"kcal","67","30",7,12
2019-01-24,900.182,400,"kcal","76","30",15,12
2019-01-25,589.607,400,"kcal","47","30",14,12
2019-01-26,400.795,400,"kcal","26","30",8,12
2019-01-27,1419.52,400,"kcal","163","30",5,12
2019-01-28,774.156,400,"kcal","66","30",13,12
2019-01-29,458.272,400,"kcal","33","30",11,12
2019-01-30,1088.67,400,"kcal","76","30",14,12
2019-01-31,478.697,400,"kcal","56","30",13,12
2019-02-01,134.947,400,"kcal","6","30",5,12
2019-02-02,579.259,400,"kcal","21","30",12,12
2019-02-03,1222.03,400,"kcal","88","30",13,12
2019-02-04,1860.46,400,"kcal","196","30",11,12
2019-02-05,2044.75,400,"kcal","295","30",11,12
2019-02-06,636.758,400,"kcal","38","30",11,12
2019-02-07,953.449,400,"kcal","119","30",9,12
2019-02-08,1789.71,400,"kcal","150","30",8,12
2019-02-09,1462.48,400,"kcal","165","30",8,12
2019-02-10,1292.23,400,"kcal","102","30",14,12
2019-02-11,359.297,400,"kcal","13","30",8,12
2019-02-12,420.392,400,"kcal","40","30",7,12
2019-02-13,481.744,400,"kcal","39","30",11,12
2019-02-14,348.404,400,"kcal","12","30",13,12
2019-02-15,306.971,400,"kcal","14","30",10,12
2019-02-16,278.301,400,"kcal","7","30",8,12
2019-02-17,23.691,400,"kcal","2","30",1,12
2019-02-18,507.097,400,"kcal","47","30",14,12
2019-02-19,1347.27,400,"kcal","128","30",13,12
2019-02-20,494.751,400,"kcal","30","30",14,12
2019-02-21,566.779,400,"kcal","30","30",15,12
2019-02-22,422.791,400,"kcal","13","30",13,12
2019-02-23,267.613,400,"kcal","7","30",7,12
2019-02-24,1122.9,400,"kcal","103","30",3,12
2019-02-25,0,400,"kcal","0","30",0,12
2019-02-26,508.031,400,"kcal","30","30",12,12
2019-02-27,302.636,400,"kcal","12","30",7,12
2019-02-28,1495.18,400,"kcal","129","30",15,12
2019-03-01,238.798,400,"kcal","7","30",8,12
2019-03-03,0,400,"kcal","0","30",0,12
2019-03-04,328.723,400,"kcal","7","30",10,12
2019-03-05,334.201,400,"kcal","12","30",8,12
2019-03-06,308.831,400,"kcal","8","30",9,12
2019-03-07,246.992,400,"kcal","3","30",10,12
2019-03-09,0,400,"kcal","0","30",0,12
2019-03-10,627.56,400,"kcal","76","30",3,12
2019-03-11,1134.01,400,"kcal","90","30",12,12
2019-03-12,1083.51,400,"kcal","89","30",16,12
2019-03-13,632.028,400,"kcal","53","30",13,12
2019-03-14,500.286,400,"kcal","24","30",13,12
2019-03-15,490.014,400,"kcal","26","30",15,12
2019-03-17,0,400,"kcal","0","30",0,12
2019-03-18,351.829,400,"kcal","12","30",10,12
2019-03-19,371.966,400,"kcal","4","30",12,12
2019-03-20,255.604,400,"kcal","9","30",8,12
2019-03-21,313.259,400,"kcal","10","30",10,12
2019-03-22,304.431,400,"kcal","13","30",9,12
2019-03-23,793.279,400,"kcal","80","30",6,12
2019-03-24,30.822,400,"kcal","4","30",1,12
2019-03-25,632.952,400,"kcal","42","30",14,12
2019-03-26,1203.16,400,"kcal","113","30",14,12
2019-03-27,319.955,400,"kcal","14","30",11,12
2019-03-28,380.665,400,"kcal","7","30",12,12
2019-03-29,539.932,400,"kcal","49","30",11,12
2019-03-30,213.939,400,"kcal","12","30",8,12
2019-03-31,1785.4,400,"kcal","193","30",6,12
2019-04-01,1416.17,400,"kcal","116","30",15,12
2019-04-02,388.649,400,"kcal","11","30",13,12
2019-04-03,1386.44,400,"kcal","141","30",13,12
2019-04-04,400.421,400,"kcal","31","30",9,12
2019-04-05,0,400,"kcal","0","30",0,12
2019-04-06,2101.97,400,"kcal","235","30",7,12
2019-04-07,702.716,400,"kcal","81","30",3,12
2019-04-08,1326.37,400,"kcal","87","30",14,12
2019-04-09,1050.51,400,"kcal","93","30",11,12
2019-04-10,2097.04,400,"kcal","197","30",14,12
2019-04-11,483.03,400,"kcal","27","30",10,12
2019-04-12,469.694,400,"kcal","36","30",10,12
2019-04-13,329.801,400,"kcal","17","30",6,12
2019-04-14,976.708,400,"kcal","91","30",8,12
2019-04-15,1046.85,400,"kcal","88","30",14,12
2019-04-16,487.588,400,"kcal","15","30",15,12
2019-04-17,1306.7,400,"kcal","126","30",12,12
2019-04-18,879.477,400,"kcal","70","30",13,12
2019-04-19,377.986,400,"kcal","21","30",9,12
2019-04-20,1502.11,400,"kcal","151","30",4,12
2019-04-21,652.973,400,"kcal","80","30",2,12
2019-04-22,451.369,400,"kcal","16","30",10,12
2019-04-23,1168.44,400,"kcal","103","30",15,12
2019-04-24,1398.69,400,"kcal","134","30",12,12
2019-04-25,661.833,400,"kcal","60","30",9,12
2019-04-26,290.048,400,"kcal","13","30",9,12
2019-04-27,117.879,400,"kcal","4","30",3,12
2019-04-28,1270.76,400,"kcal","111","30",14,12
2019-04-29,964.254,400,"kcal","89","30",11,12
2019-04-30,455.73,400,"kcal","39","30",12,12
2019-05-01,0,400,"kcal","0","30",0,12
2019-05-02,2958.31,400,"kcal","303","30",8,12
2019-05-03,1224.06,400,"kcal","121","30",9,12
2019-05-04,671.461,400,"kcal","68","30",4,12
2019-05-05,1083.16,400,"kcal","100","30",12,12
2019-05-06,935.195,400,"kcal","71","30",15,12
2019-05-07,1744.05,400,"kcal","131","30",15,12
2019-05-08,416.453,400,"kcal","31","30",11,12
2019-05-09,1553.01,400,"kcal","160","30",15,12
2019-05-10,610.867,400,"kcal","62","30",10,12
2019-05-11,0,400,"kcal","0","30",0,12
2019-05-12,1431.02,400,"kcal","156","30",4,12
2019-05-13,283.756,400,"kcal","1","30",10,12
2019-05-14,1500.76,400,"kcal","150","30",15,12
2019-05-15,263.953,400,"kcal","12","30",11,12
2019-05-16,1002,400,"kcal","80","30",14,12
2019-05-17,1215.07,400,"kcal","111","30",14,12
2019-05-18,1091.08,400,"kcal","130","30",8,12
2019-05-19,573.655,400,"kcal","82","30",12,12
2019-05-20,1268.64,400,"kcal","102","30",15,12
2019-05-21,1208.07,400,"kcal","159","30",14,12
2019-05-22,1120.06,400,"kcal","117","30",12,12
2019-05-23,567.378,400,"kcal","41","30",11,12
2019-05-24,891.657,400,"kcal","74","30",12,12
2019-05-25,1011.65,400,"kcal","109","30",3,12
2019-05-26,0,400,"kcal","0","30",0,12
2019-05-27,1123.69,400,"kcal","81","30",15,12
2019-05-28,853.996,400,"kcal","59","30",14,12
2019-05-29,1765.63,400,"kcal","163","30",15,12
2019-05-30,356.978,400,"kcal","19","30",9,12
2019-05-31,391.232,400,"kcal","32","30",8,12
2019-06-01,108.16,400,"kcal","3","30",3,12
2019-06-02,2459.93,400,"kcal","243","30",11,12
2019-06-03,856.966,400,"kcal","54","30",14,12
2019-06-04,1229.37,400,"kcal","104","30",15,12
2019-06-05,1357.3,400,"kcal","131","30",10,12
2019-06-06,1191.3,400,"kcal","107","30",15,12
2019-06-07,503.198,400,"kcal","39","30",5,12
2019-06-08,52.181,400,"kcal","1","30",2,12
2019-06-09,1295.06,400,"kcal","107","30",8,12
2019-06-10,348.859,400,"kcal","8","30",10,12
2019-06-11,897.641,400,"kcal","82","30",12,12
2019-06-12,428.805,400,"kcal","34","30",10,12
2019-06-13,254.781,400,"kcal","6","30",9,12
2019-06-14,479.119,400,"kcal","40","30",11,12
2019-06-15,1439.25,400,"kcal","163","30",5,12
2019-06-16,698.753,400,"kcal","71","30",2,12
2019-06-17,274.351,400,"kcal","12","30",7,12
